               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.046024,            0.019179,                   0,             0.79954,             0.66493,             0.78757,              0.2926,            0.041492,           0.0079535,                   0,           0.0047671,           0.0047671,           0.0047671
                  39,            0.046519,            0.021543,                   0,             0.74906,                0.75,             0.67757,             0.24333,             0.04157,           0.0074695,                   0,           0.0046257,           0.0046257,           0.0046257
                  40,            0.041143,            0.019737,                   0,             0.74982,             0.74933,             0.79424,             0.27626,            0.040887,            0.007401,                   0,           0.0044843,           0.0044843,           0.0044843
                  41,            0.042871,            0.018049,                   0,             0.88879,              0.6661,              0.7747,             0.35494,            0.034682,           0.0071944,                   0,           0.0043429,           0.0043429,           0.0043429
                  42,            0.042042,            0.019012,                   0,             0.88887,             0.66656,             0.78392,             0.34484,            0.041626,           0.0068917,                   0,           0.0042014,           0.0042014,           0.0042014
                  43,            0.042116,            0.019046,                   0,                   1,             0.74963,             0.86235,             0.43489,            0.032243,           0.0069303,                   0,             0.00406,             0.00406,             0.00406
                  44,            0.036226,            0.018359,                   0,             0.90882,             0.83084,             0.93887,             0.34723,            0.040775,           0.0067875,                   0,           0.0039186,           0.0039186,           0.0039186
                  45,            0.043845,            0.017578,                   0,             0.99997,             0.66667,             0.84679,             0.42007,            0.032398,           0.0067087,                   0,           0.0037771,           0.0037771,           0.0037771
                  46,            0.036313,            0.016964,                   0,             0.78097,             0.89269,             0.88364,              0.3937,            0.035063,           0.0067696,                   0,           0.0036357,           0.0036357,           0.0036357
                  47,            0.036271,            0.017831,                   0,             0.84602,             0.91667,             0.88178,             0.43054,            0.031812,           0.0066247,                   0,           0.0034943,           0.0034943,           0.0034943
                  48,            0.038241,            0.018412,                   0,              0.8458,             0.91667,             0.89995,             0.42511,            0.032901,           0.0069078,                   0,           0.0033529,           0.0033529,           0.0033529
                  49,            0.033543,            0.018874,                   0,             0.84502,             0.91667,              0.8766,             0.44372,            0.030523,           0.0069049,                   0,           0.0032114,           0.0032114,           0.0032114
                  50,            0.033508,            0.019213,                   0,             0.83322,             0.83273,             0.85895,             0.48245,            0.030592,           0.0069582,                   0,             0.00307,             0.00307,             0.00307
                  51,            0.035071,            0.019368,                   0,             0.73194,             0.91667,             0.85075,              0.4229,            0.030941,           0.0073011,                   0,           0.0029286,           0.0029286,           0.0029286
                  52,            0.035343,            0.019497,                   0,             0.89996,             0.74973,             0.90162,             0.38295,            0.031533,           0.0075436,                   0,           0.0027871,           0.0027871,           0.0027871
                  53,            0.033461,            0.016025,                   0,             0.66633,                   1,             0.87706,             0.38737,            0.032695,           0.0078094,                   0,           0.0026457,           0.0026457,           0.0026457
                  54,            0.032246,            0.017372,                   0,             0.79996,             0.99978,             0.94755,             0.39509,            0.033364,           0.0075611,                   0,           0.0025043,           0.0025043,           0.0025043
                  55,            0.028496,            0.014446,                   0,              0.8333,             0.83314,              0.9218,             0.37314,            0.032894,           0.0075331,                   0,           0.0023629,           0.0023629,           0.0023629
                  56,            0.033927,            0.015094,                   0,             0.74978,             0.99889,             0.92686,             0.40234,            0.032698,           0.0077638,                   0,           0.0022214,           0.0022214,           0.0022214
                  57,            0.030735,            0.016911,                   0,             0.79976,                   1,             0.94054,             0.40993,            0.033896,           0.0075232,                   0,             0.00208,             0.00208,             0.00208
                  58,            0.030092,            0.016991,                   0,             0.79774,                   1,             0.95285,             0.44592,            0.032159,           0.0072695,                   0,           0.0019386,           0.0019386,           0.0019386
                  59,            0.030256,            0.016926,                   0,              0.8459,             0.91667,             0.94218,             0.39709,            0.032394,            0.007523,                   0,           0.0017971,           0.0017971,           0.0017971
                  60,            0.029552,            0.014882,                   0,             0.90905,             0.83296,              0.9243,             0.41708,            0.033604,           0.0076603,                   0,           0.0016557,           0.0016557,           0.0016557
                  61,            0.028611,            0.015415,                   0,                   1,              0.8333,              0.9285,             0.41684,            0.033811,           0.0076115,                   0,           0.0015143,           0.0015143,           0.0015143
                  62,            0.026658,             0.01584,                   0,                   1,             0.83329,             0.93364,             0.40172,            0.033512,           0.0076594,                   0,           0.0013729,           0.0013729,           0.0013729
                  63,            0.028294,             0.01658,                   0,             0.99973,             0.83333,             0.93367,             0.40801,            0.033237,           0.0077662,                   0,           0.0012314,           0.0012314,           0.0012314
                  64,            0.029245,            0.018881,                   0,             0.99987,             0.83333,             0.92922,             0.41679,            0.032688,           0.0078161,                   0,             0.00109,             0.00109,             0.00109
                  65,            0.026407,            0.015994,                   0,             0.91662,              0.9162,             0.94262,             0.42693,            0.032505,           0.0078542,                   0,          0.00094857,          0.00094857,          0.00094857
                  66,            0.027937,            0.016782,                   0,             0.91666,             0.91659,             0.94033,             0.45469,            0.032147,           0.0078196,                   0,          0.00080714,          0.00080714,          0.00080714
                  67,             0.02673,            0.015869,                   0,             0.91662,             0.91617,             0.94033,             0.43626,            0.032068,           0.0078625,                   0,          0.00066571,          0.00066571,          0.00066571
                  68,            0.025472,            0.015769,                   0,             0.91663,             0.91624,             0.93576,              0.4221,            0.032093,           0.0079327,                   0,          0.00052429,          0.00052429,          0.00052429
                  69,            0.028041,            0.015621,                   0,                   1,             0.83266,             0.92555,             0.41141,            0.032069,           0.0080007,                   0,          0.00038286,          0.00038286,          0.00038286
